Date,Open,High,Low,Close,Adj Close,Volume
2019-08-22,1270.949951,1271.000000,1238.900024,1246.750000,1242.086182,6414937
2019-08-23,1239.000000,1284.000000,1226.500000,1275.849976,1271.077271,9741262
2019-08-26,1294.000000,1294.000000,1259.000000,1266.800049,1262.061279,8778739
2019-08-27,1285.000000,1285.000000,1261.199951,1274.849976,1270.081055,12984396
2019-08-28,1273.750000,1281.000000,1256.050049,1263.300049,1258.574341,5305639
2019-08-29,1256.449951,1260.250000,1235.300049,1241.750000,1237.104858,8635974
2019-08-30,1245.500000,1254.400024,1221.000000,1248.550049,1243.879517,11308120
2019-09-03,1242.250000,1243.000000,1200.000000,1206.400024,1201.887085,8563009
2019-09-04,1200.550049,1205.250000,1186.050049,1201.150024,1196.656738,15063355
2019-09-05,1206.800049,1213.199951,1193.300049,1198.599976,1194.116211,10512763
2019-09-06,1203.000000,1229.000000,1195.250000,1222.500000,1217.926880,10600234
2019-09-09,1220.650024,1233.000000,1213.150024,1222.199951,1217.627930,5370758
2019-09-11,1222.500000,1240.000000,1222.500000,1234.400024,1229.782349,5544468
2019-09-12,1235.000000,1240.449951,1205.699951,1210.349976,1205.822266,5431139
2019-09-13,1212.000000,1228.500000,1206.900024,1225.599976,1221.015259,5919260
2019-09-16,1189.000000,1219.099976,1186.099976,1210.750000,1206.220825,9393731
2019-09-17,1211.000000,1211.000000,1193.500000,1197.449951,1192.970581,7150435
2019-09-18,1204.949951,1216.300049,1197.199951,1205.699951,1201.189697,6827281
2019-09-19,1207.849976,1209.699951,1172.650024,1179.050049,1174.639526,6293454
2019-09-20,1187.949951,1269.900024,1174.300049,1254.349976,1249.657715,22019674
2019-09-23,1274.150024,1281.000000,1235.000000,1239.199951,1234.564331,9879751
2019-09-24,1243.599976,1298.800049,1242.750000,1278.699951,1273.916626,15982067
2019-09-25,1284.000000,1295.000000,1268.849976,1279.550049,1274.763550,8316894
2019-09-26,1292.000000,1298.800049,1283.500000,1296.800049,1291.948975,8389212
2019-09-27,1292.500000,1315.000000,1284.000000,1309.050049,1304.153198,8712980
2019-09-30,1310.000000,1335.750000,1305.550049,1332.250000,1327.266357,11549746
2019-10-01,1337.000000,1342.000000,1293.300049,1304.900024,1300.018677,8192597
2019-10-03,1286.000000,1314.699951,1281.300049,1311.050049,1306.145630,6183107
2019-10-04,1319.900024,1328.599976,1303.849976,1308.099976,1303.206665,6853954
2019-10-07,1308.099976,1320.800049,1301.699951,1310.099976,1305.199219,4599818
2019-10-09,1308.699951,1329.949951,1292.500000,1324.750000,1319.794434,8040938
2019-10-10,1325.000000,1369.000000,1321.000000,1362.750000,1357.652222,16003744
2019-10-11,1363.699951,1365.599976,1336.550049,1352.599976,1347.540161,7587648
